State,Crop,Season,Sowing_Month,Harvest_Month,Growth_Stage,Soil_Type,Water_Requirement,Fertilizer_Used,Pesticide_Used,Organic_Practice,Major_Disease
Uttar Pradesh,Rice,Kharif,July,October,Vegetative,Alluvial soil rich in organic matter,High water requirement 150-200cm annually,NPK 20-20-0 complex mixture,Cartap hydrochloride 50SP for BPH and WBPH,Apply Farm Yard Manure 10-12 tons/ha before transplanting,Tungro virus spread by leafhoppers
Tripura,Rice,Kharif,July,September,Flowering,Red laterite soil with adequate irrigation,Flooded fields during growing season with 5-10cm standing water,Urea 46% N 120kg/ha in split doses,Imidacloprid 17.8SL systemic insecticide,Green manuring with Dhaincha or Sesbania for nitrogen,Brown spot causing yield reduction
Sikkim,Cardamom,Zaid,February,May,Germination,Forest loam soil,High rainfall crop,Organic manure 10kg/plant,Neem oil,Mulching with leaf litter,Capsule rot
Rajasthan,Maize,Zaid,March,May,Flowering,Black soil with proper drainage facilities,Avoid water stress during grain filling,Urea 250kg/ha split application,Chlorantraniliprole 18.5SC for fall armyworm,Neem cake 200kg/ha soil application,Turcicum leaf blight Northern blight
Tamil Nadu,Rice,Kharif,July,September,Fruiting,Alluvial soil rich in organic matter,High water requirement 150-200cm annually,Muriate of Potash 0-0-60 60kg/ha,Tricyclazole 75WP for blast disease,Green manuring with Dhaincha or Sesbania for nitrogen,Bacterial leaf blight in warm weather
Punjab,Sugarcane,Rabi,November,February,Vegetative,Black cotton soil with good drainage,Frequent irrigation every 7-10 days in summer,High nitrogen requirement Urea 300kg/ha split,Chlorpyrifos 20EC for termite and root borer,Compost 25 tons/ha for soil enrichment,Wilt causing yellowing and drying
Gujarat,Tobacco,Kharif,July,October,Fruiting,Sandy loam,Moderate irrigation,High potash requirement,Imidacloprid for aphids,Crop rotation,Damping off
Kerala,Tea,Rabi,October,March,Fruiting,Acidic loam soil pH 4.5-5.5,Frequent light irrigation,Ammonium sulphate,Copper fungicides,Mulching with pruned leaves,Die back
Uttarakhand,Potato,Zaid,March,June,Sowing,Well-drained soil pH 5.5-6.5,Light frequent irrigation 8-10 times,NPK 19-19-19 complex fertilizer,Mancozeb 75WP for late blight prevention,Trichoderma viride seed treatment,Leaf roll virus aphid transmitted
Maharashtra,Soybean,Kharif,July,September,Germination,Well-drained loamy soil pH 6-7.5,Rainfed in most areas of India,Potash 40kg/ha for seed quality,Chlorpyrifos 20EC broad spectrum,Rhizobium japonicum culture mandatory,Charcoal rot Macrophomina at maturity
Uttarakhand,Pulses,Rabi,October,February,Vegetative,Well-drained loam pH 6-7.5,1-2 protective irrigations,Phosphorus important DAP 100kg/ha,Imidacloprid 17.8SL for sucking pests,Rhizobium culture seed treatment essential,Powdery mildew white coating
Jharkhand,Rice,Zaid,February,May,Sowing,Black cotton soil in deltaic regions,Drip irrigation in System of Rice Intensification (SRI),Zinc sulphate 25kg/ha in deficient soils,Imidacloprid 17.8SL systemic insecticide,Crop rotation with pulses to fix nitrogen,Sheath blight in humid conditions
Madhya Pradesh,Rice,Zaid,March,June,Vegetative,Alluvial soil rich in organic matter,High water requirement 150-200cm annually,Muriate of Potash 0-0-60 60kg/ha,Cartap hydrochloride 50SP for BPH and WBPH,Apply Farm Yard Manure 10-12 tons/ha before transplanting,False smut during flowering stage
Punjab,Rice,Kharif,July,September,Fruiting,Red laterite soil with adequate irrigation,Alternate wetting and drying to save 25-30% water,NPK 20-20-0 complex mixture,Chlorpyrifos 20EC for stem borer and leaf folder,Crop rotation with pulses to fix nitrogen,Bacterial leaf blight in warm weather
Rajasthan,Barley,Rabi,November,March,Vegetative,Alluvial soil,2-3 irrigations,DAP 100kg/ha,Propiconazole for leaf rust,Compost,Stripe rust
Jammu and Kashmir,Rice,Zaid,February,June,Maturity,Red laterite soil with adequate irrigation,Alternate wetting and drying to save 25-30% water,Urea 46% N 120kg/ha in split doses,Chlorpyrifos 20EC for stem borer and leaf folder,Neem cake 200kg/ha as soil amendment,Blast disease affecting leaves and panicles
Tripura,Jute,Rabi,October,February,Fruiting,Loamy soil with good drainage,High rainfall crop 150-200cm,DAP 100kg/ha,Endosulfan alternatives for hairy caterpillar,Green manuring,Root rot
Meghalaya,Maize,Zaid,February,June,Flowering,Black soil with proper drainage facilities,Moderate requirement 50-75cm,Urea 250kg/ha split application,Cypermethrin 25EC for stem borer,Neem cake 200kg/ha soil application,Downy mildew systemic infection
Karnataka,Sugarcane,Zaid,March,June,Vegetative,Black cotton soil with good drainage,High requirement 200-250cm annually,High nitrogen requirement Urea 300kg/ha split,Carbofuran 3G systemic insecticide,Biofertilizers Azospirillum and PSB,Wilt causing yellowing and drying
Mizoram,Rice,Kharif,June,September,Maturity,Red laterite soil with adequate irrigation,Flooded fields during growing season with 5-10cm standing water,Muriate of Potash 0-0-60 60kg/ha,Imidacloprid 17.8SL systemic insecticide,Vermicompost 5 tons/ha for soil health,Blast disease affecting leaves and panicles
Bihar,Wheat,Rabi,October,March,Vegetative,Deep alluvial soil of Indo-Gangetic plains,"5-6 critical irrigations: CRI, tillering, jointing, flowering, milk, dough stages",Urea 130kg/ha for nitrogen supply,Chlorpyrifos 20EC 2ml/L for aphid control,Azotobacter biofertilizer for N fixation,Leaf blight complex
Karnataka,Ragi,Zaid,February,June,Sowing,Red lateritic soil,Low water requirement,DAP 60kg/ha,Neem oil,Traditional crop management,Blast disease
Goa,Rice,Rabi,November,March,Vegetative,Red laterite soil with adequate irrigation,Drip irrigation in System of Rice Intensification (SRI),DAP 18-46-0 100kg/ha as basal,Chlorpyrifos 20EC for stem borer and leaf folder,Vermicompost 5 tons/ha for soil health,Brown spot causing yield reduction
Goa,Rice,Kharif,July,November,Fruiting,Clayey loam soil with good water retention,High water requirement 150-200cm annually,NPK 20-20-0 complex mixture,Cartap hydrochloride 50SP for BPH and WBPH,Vermicompost 5 tons/ha for soil health,False smut during flowering stage
Meghalaya,Maize,Rabi,October,February,Vegetative,Black soil with proper drainage facilities,Critical at tasseling and silking stages,Potash 60kg/ha for strong stalks,Carbofuran 3G at whorl stage,Neem cake 200kg/ha soil application,Turcicum leaf blight Northern blight
Rajasthan,Cotton,Kharif,June,October,Vegetative,Black cotton soil (Regur) ideal for cotton,Drip irrigation most efficient method,Boron 10kg/ha and Zinc 25kg/ha micronutrients,Chlorpyrifos 20EC broad spectrum,Intercropping with pulses or marigold,Alternaria leaf spot common disease
Arunachal Pradesh,Maize,Kharif,July,September,Germination,Sandy loam with good aeration,Critical at tasseling and silking stages,Potash 60kg/ha for strong stalks,Imidacloprid 70WG for aphids and leafhoppers,FYM 8-10 tons/ha pre-sowing,Common rust orange pustules
Mizoram,Rice,Rabi,October,February,Flowering,Red laterite soil with adequate irrigation,Flooded fields during growing season with 5-10cm standing water,Zinc sulphate 25kg/ha in deficient soils,Carbofuran 3G granules for gall midge control,Apply Farm Yard Manure 10-12 tons/ha before transplanting,Blast disease affecting leaves and panicles
Maharashtra,Jowar,Kharif,July,November,Flowering,Black cotton soil,Drought tolerant,DAP 100kg/ha,Carbaryl for shoot fly,FYM 5 tons/ha,Anthracnose
Meghalaya,Ginger,Zaid,March,May,Maturity,Loose loam soil,High moisture but well drained,FYM 25 tons/ha,Neem-based pesticides,Trichoderma treatment,Soft rot
Tripura,Rice,Rabi,November,February,Sowing,Alluvial soil rich in organic matter,Alternate wetting and drying to save 25-30% water,Muriate of Potash 0-0-60 60kg/ha,Tricyclazole 75WP for blast disease,Crop rotation with pulses to fix nitrogen,Bacterial leaf blight in warm weather
Himachal Pradesh,Wheat,Rabi,November,February,Fruiting,Sandy loam with good organic content,"5-6 critical irrigations: CRI, tillering, jointing, flowering, milk, dough stages",NPK 12-32-16 complete mixture,Mancozeb 75WP broad spectrum fungicide,Compost application 5 tons/ha,Powdery mildew in dense canopy
Jharkhand,Rice,Rabi,October,March,Vegetative,Red laterite soil with adequate irrigation,High water requirement 150-200cm annually,Muriate of Potash 0-0-60 60kg/ha,Tricyclazole 75WP for blast disease,Green manuring with Dhaincha or Sesbania for nitrogen,Blast disease affecting leaves and panicles
Kerala,Banana,Zaid,March,May,Flowering,Alluvial soil river valleys,Mulching important for moisture,"Micronutrients Zn, B for bunch",Chlorpyrifos 20EC for banana weevil,Neem cake 2kg/plant at planting,Rhizome rot in waterlogged conditions
Uttar Pradesh,Sugarcane,Zaid,February,May,Vegetative,Deep rich loamy soil 1-1.5m depth,Frequent irrigation every 7-10 days in summer,Potash 120kg/ha important for sugar content,Imidacloprid 17.8SL for aphids and whitefly,Green manuring with leguminous crops,Rust fungal disease on leaves
Puducherry,Cotton,Rabi,October,March,Germination,Black cotton soil (Regur) ideal for cotton,10-12 irrigations in non-rainy season,Urea in 3-4 split doses total 150kg/ha,Chlorpyrifos 20EC broad spectrum,Pheromone traps for bollworm monitoring,Grey mildew in humid conditions
Gujarat,Groundnut,Kharif,June,September,Maturity,Sandy loam ideal for pod development,Critical at pegging and pod formation,Rhizobium culture seed treatment,Chlorpyrifos 20EC for white grub,Neem cake 500kg/ha at sowing,Bud necrosis virus thrips transmitted
Assam,Pulses,Rabi,November,February,Flowering,Sandy loam with moderate fertility,Low to moderate 35-50cm,Phosphorus important DAP 100kg/ha,Chlorpyrifos 20EC for various pests,Crop rotation improves soil nitrogen,Sterility mosaic mite transmitted
Telangana,Maize,Rabi,October,February,Maturity,Black soil with proper drainage facilities,4-5 irrigations through growing season,Urea 250kg/ha split application,Cypermethrin 25EC for stem borer,FYM 8-10 tons/ha pre-sowing,Maydis leaf blight causing lesions
Rajasthan,Maize,Rabi,October,February,Vegetative,Black soil with proper drainage facilities,Avoid water stress during grain filling,DAP 150kg/ha at basal dose,Chlorantraniliprole 18.5SC for fall armyworm,Crop rotation with legumes,Downy mildew systemic infection
Rajasthan,Bajra,Rabi,October,March,Fruiting,Light loam soil,Low water requirement,DAP 80kg/ha,Neem oil for aphids,Minimal input crop,Downy mildew
Andhra Pradesh,Rice,Rabi,October,March,Sowing,Clayey loam soil with good water retention,Alternate wetting and drying to save 25-30% water,NPK 20-20-0 complex mixture,Imidacloprid 17.8SL systemic insecticide,Vermicompost 5 tons/ha for soil health,Bacterial leaf blight in warm weather
Himachal Pradesh,Apple,Rabi,November,March,Fruiting,Sandy loam,Moderate irrigation,FYM 20kg/tree,Chlorpyrifos for codling moth,Pruning and mulching,Powdery mildew
Arunachal Pradesh,Maize,Kharif,July,October,Maturity,Well-drained loamy soil pH 5.5-7.5,Avoid water stress during grain filling,DAP 150kg/ha at basal dose,Imidacloprid 70WG for aphids and leafhoppers,FYM 8-10 tons/ha pre-sowing,Downy mildew systemic infection
Meghalaya,Rice,Kharif,July,November,Germination,Clayey loam soil with good water retention,Drip irrigation in System of Rice Intensification (SRI),Zinc sulphate 25kg/ha in deficient soils,Chlorpyrifos 20EC for stem borer and leaf folder,Crop rotation with pulses to fix nitrogen,False smut during flowering stage
Karnataka,Jowar,Kharif,June,September,Germination,Black cotton soil,Low to moderate 40-60cm,DAP 100kg/ha,Neem oil,Crop rotation,Anthracnose
Goa,Rice,Rabi,November,March,Flowering,Red laterite soil with adequate irrigation,Alternate wetting and drying to save 25-30% water,NPK 20-20-0 complex mixture,Cartap hydrochloride 50SP for BPH and WBPH,Vermicompost 5 tons/ha for soil health,Bacterial leaf blight in warm weather
Assam,Vegetables,Rabi,October,March,Germination,Well-drained loamy soil,Drip irrigation preferred,NPK 100:60:60 kg/ha,Neem oil for aphids,Crop rotation,Damping off
Madhya Pradesh,Maize,Kharif,June,September,Flowering,Well-drained loamy soil pH 5.5-7.5,4-5 irrigations through growing season,NPK 20-20-0 at planting,Chlorantraniliprole 18.5SC for fall armyworm,FYM 8-10 tons/ha pre-sowing,Downy mildew systemic infection
Puducherry,Cotton,Zaid,February,June,Germination,Deep sandy loam well-drained,Drip irrigation most efficient method,Muriate of Potash 60kg/ha for fiber quality,Thiamethoxam 25WG systemic insecticide,Neem oil 3% spray for sucking pests,Cotton leaf curl virus CLCuV
Meghalaya,Rice,Rabi,November,February,Sowing,Black cotton soil in deltaic regions,Flooded fields during growing season with 5-10cm standing water,Muriate of Potash 0-0-60 60kg/ha,Cartap hydrochloride 50SP for BPH and WBPH,Vermicompost 5 tons/ha for soil health,Sheath blight in humid conditions
Assam,Rice,Zaid,February,June,Flowering,Clayey loam soil with good water retention,Drip irrigation in System of Rice Intensification (SRI),Muriate of Potash 0-0-60 60kg/ha,Imidacloprid 17.8SL systemic insecticide,Neem cake 200kg/ha as soil amendment,Tungro virus spread by leafhoppers
Rajasthan,Maize,Kharif,July,November,Maturity,Black soil with proper drainage facilities,Avoid water stress during grain filling,Potash 60kg/ha for strong stalks,Imidacloprid 70WG for aphids and leafhoppers,Trichoderma viride for disease control,Common rust orange pustules
Tamil Nadu,Sugarcane,Rabi,October,March,Fruiting,Black cotton soil with good drainage,Critical at tillering and grand growth phase,Potash 120kg/ha important for sugar content,Chlorpyrifos 20EC for termite and root borer,Biofertilizers Azospirillum and PSB,Red rot most destructive disease
Uttar Pradesh,Sugarcane,Zaid,March,May,Fruiting,Black cotton soil with good drainage,Drip or furrow irrigation methods,NPK 15-15-15 balanced fertilizer,Imidacloprid 17.8SL for aphids and whitefly,Compost 25 tons/ha for soil enrichment,Rust fungal disease on leaves
Himachal Pradesh,Wheat,Kharif,July,October,Vegetative,Well-drained loamy soil pH 6-7.5,Avoid water logging which causes root damage,NPK 12-32-16 complete mixture,Tebuconazole 2DS for Karnal bunt,Crop rotation with legumes for nitrogen,Loose smut seed-borne disease
Manipur,Rice,Zaid,February,June,Vegetative,Red laterite soil with adequate irrigation,Flooded fields during growing season with 5-10cm standing water,Urea 46% N 120kg/ha in split doses,Imidacloprid 17.8SL systemic insecticide,Green manuring with Dhaincha or Sesbania for nitrogen,Bacterial leaf blight in warm weather
Assam,Oilseeds,Kharif,June,October,Fruiting,Well-drained black soil,Critical at flowering,Sulphur 30kg/ha,Quinalphos 25EC,Neem cake 500kg/ha,Alternaria blight
Uttarakhand,Rice,Kharif,July,November,Sowing,Black cotton soil in deltaic regions,Drip irrigation in System of Rice Intensification (SRI),DAP 18-46-0 100kg/ha as basal,Chlorpyrifos 20EC for stem borer and leaf folder,Vermicompost 5 tons/ha for soil health,Sheath blight in humid conditions
Himachal Pradesh,Barley,Rabi,October,February,Germination,Alluvial soil,2-3 irrigations,Urea 60kg/ha,Propiconazole for leaf rust,Compost,Powdery mildew
Meghalaya,Pineapple,Rabi,November,February,Flowering,Laterite soil,Moderate rainfall,Organic compost,Chlorpyrifos for mealy bug,Organic manure,Leaf spot
Meghalaya,Turmeric,Zaid,March,May,Flowering,Sandy loam,Moderate rainfall 100-150cm,FYM 25 tons/ha,Neem oil,Rhizome treatment,Leaf blotch
Uttar Pradesh,Rice,Kharif,June,September,Fruiting,Clayey loam soil with good water retention,Alternate wetting and drying to save 25-30% water,Zinc sulphate 25kg/ha in deficient soils,Chlorpyrifos 20EC for stem borer and leaf folder,Vermicompost 5 tons/ha for soil health,False smut during flowering stage
Andhra Pradesh,Maize,Zaid,March,June,Flowering,Sandy loam with good aeration,Avoid water stress during grain filling,DAP 150kg/ha at basal dose,Imidacloprid 70WG for aphids and leafhoppers,Vermicompost 3-4 tons/ha,Stalk rot weakening stems
Mizoram,Orange,Rabi,November,February,Flowering,Well-drained loam,Moderate irrigation,FYM 20kg/tree,Imidacloprid for citrus psylla,Pruning and mulching,Gummosis
Goa,Rice,Zaid,March,June,Maturity,Alluvial soil rich in organic matter,High water requirement 150-200cm annually,Muriate of Potash 0-0-60 60kg/ha,Imidacloprid 17.8SL systemic insecticide,Neem cake 200kg/ha as soil amendment,Blast disease affecting leaves and panicles
